"gas_day","region_code","gas_cons_mcm","rec_added"
2023-11-06,FR,123.68,2024-02-15 18:15:49.958 +0300
2023-11-06,AT,20.20,2023-11-17 18:10:09.410 +0300
2023-11-06,CZ,40.4028571,2023-11-08 03:00:08.000 +0300
2023-11-05,FR,99.83,2024-02-14 18:15:44.756 +0300
2023-11-05,AT,18.04,2023-11-16 18:10:09.786 +0300
2023-11-05,CZ,32.2490476,2023-11-07 12:17:25.000 +0300
2023-11-04,FR,102.73,2024-02-13 18:16:40.827 +0300
2023-11-04,AT,18.91,2023-11-15 18:10:08.463 +0300
2023-11-04,CZ,32.5342857,2023-11-07 12:17:25.000 +0300
2023-11-03,FR,115.76,2024-02-12 18:16:02.271 +0300
2023-11-03,AT,23.00,2023-11-14 18:10:09.800 +0300
2023-11-03,CZ,34.2542857,2023-11-07 12:17:25.000 +0300
2023-11-02,FR,104.85,2024-02-11 18:16:15.187 +0300
2023-11-02,AT,11.79,2023-11-13 18:10:09.230 +0300
2023-11-02,CZ,34.4904762,2023-11-07 12:17:25.000 +0300
2023-11-01,FR,89.03,2024-02-09 18:15:48.631 +0300
2023-11-01,AT,18.71,2023-11-12 18:10:09.324 +0300
2023-11-01,CZ,36.9623809,2023-11-03 03:00:26.000 +0300
2023-10-31,FR,94.62,2024-02-09 18:15:48.631 +0300
2023-10-31,AT,13.33,2023-11-11 18:10:09.440 +0300
2023-10-31,CZ,29.3747619,2023-11-02 03:00:24.000 +0300
2023-10-30,FR,93.27,2024-02-08 18:16:07.712 +0300
2023-10-30,AT,15.13,2023-11-10 18:10:10.749 +0300
2023-10-30,CZ,32.7709524,2023-11-01 03:00:34.000 +0300
2023-10-29,FR,71.75,2024-02-07 18:15:53.220 +0300
2023-10-29,AT,11.60,2023-11-09 18:10:10.268 +0300
2023-10-29,CZ,33.0285714,2023-11-02 03:00:24.000 +0300
2023-10-28,FR,78.05,2024-02-06 18:15:40.419 +0300
2023-10-28,AT,13.32,2023-11-08 18:10:06.384 +0300
2023-10-28,CZ,35.4385715,2023-11-02 03:00:24.000 +0300
2023-10-27,FR,87.12,2024-02-05 18:15:55.310 +0300
2023-10-27,AT,8.83,2023-11-07 18:10:09.568 +0300
2023-10-27,CZ,30.6171429,2023-11-02 03:00:24.000 +0300
2023-10-26,FR,95.81,2024-02-03 18:15:50.214 +0300
2023-10-26,AT,12.43,2023-11-03 18:10:40.664 +0300
2023-10-26,CZ,35.3123809,2023-11-02 03:00:24.000 +0300
2023-10-25,FR,91.39,2024-02-03 18:15:50.214 +0300
2023-10-25,AT,10.40,2023-11-03 18:10:29.973 +0300
2023-10-25,CZ,35.7004762,2023-11-02 03:00:24.000 +0300
2023-10-24,FR,92.50,2024-02-02 18:15:46.176 +0300
2023-10-24,AT,16.71,2023-11-03 18:10:19.923 +0300
2023-10-24,CZ,40.9933333,2023-11-02 03:00:24.000 +0300
2023-10-23,FR,94.31,2024-02-01 18:16:16.323 +0300
2023-10-23,AT,19.38,2023-11-03 18:10:09.696 +0300
2023-10-23,CZ,35.4609523,2023-11-02 03:00:24.000 +0300
2023-10-22,FR,69.24,2024-01-31 18:16:23.409 +0300
2023-10-22,AT,11.14,2023-11-02 18:10:08.172 +0300
2023-10-22,CZ,32.7076190,2023-10-24 03:00:35.000 +0300
2023-10-21,FR,66.05,2024-01-30 18:15:49.656 +0300
2023-10-21,CZ,32.2990476,2023-11-02 03:00:24.000 +0300
2023-10-21,AT,9.83,2023-11-01 18:10:09.149 +0300
2023-10-20,FR,71.05,2024-01-28 18:16:07.397 +0300
2023-10-20,CZ,38.9871428,2023-11-02 03:00:24.000 +0300
2023-10-20,AT,19.08,2023-10-31 18:10:08.292 +0300
2023-10-19,FR,71.23,2024-01-28 18:16:07.397 +0300
2023-10-19,AT,25.02,2023-10-30 18:10:07.724 +0300
2023-10-19,CZ,39.8100000,2023-10-21 03:00:45.000 +0300
2023-10-18,FR,75.28,2024-01-27 18:10:23.438 +0300
2023-10-18,CZ,37.7390476,2023-11-02 03:00:24.000 +0300
2023-10-18,AT,29.16,2023-10-29 18:10:08.859 +0300
2023-10-17,FR,82.05,2024-01-26 18:10:22.048 +0300
2023-10-17,CZ,39.9019048,2023-11-02 03:00:24.000 +0300
2023-10-17,AT,24.93,2023-10-28 18:10:08.776 +0300
2023-10-16,FR,83.67,2024-01-25 18:10:24.779 +0300
2023-10-16,AT,12.64,2023-10-27 18:10:08.297 +0300
2023-10-16,CZ,37.0500000,2023-10-20 03:00:59.000 +0300
2023-10-15,FR,55.29,2024-01-24 18:10:21.057 +0300
2023-10-15,CZ,29.7980953,2023-11-02 03:00:24.000 +0300
2023-10-15,AT,7.60,2023-10-26 18:10:08.617 +0300
2023-10-14,FR,49.75,2024-01-22 18:10:20.034 +0300
2023-10-14,AT,4.17,2023-10-25 18:10:07.368 +0300
2023-10-14,CZ,28.6242858,2023-10-16 06:25:04.000 +0300
2023-10-13,FR,54.02,2024-01-22 18:10:20.034 +0300
2023-10-13,AT,3.41,2023-10-24 18:10:08.913 +0300
2023-10-13,CZ,29.3380952,2023-10-16 06:25:04.000 +0300
2023-10-12,FR,65.53,2024-01-21 18:10:18.982 +0300
2023-10-12,AT,11.98,2023-10-23 18:10:10.833 +0300
2023-10-12,CZ,30.1961904,2023-10-16 06:25:04.000 +0300
2023-10-11,FR,61.52,2024-01-20 18:10:25.063 +0300
2023-10-11,AT,12.04,2023-10-22 18:10:08.230 +0300
2023-10-11,CZ,29.810000,2023-10-13 03:00:27.000 +0300
2023-10-10,FR,64.72,2024-01-19 18:10:18.621 +0300
2023-10-10,AT,5.90,2023-10-21 18:10:06.778 +0300
2023-10-10,CZ,29.2604762,2023-10-12 03:00:36.000 +0300
2023-10-09,FR,70.36,2024-01-18 18:10:22.530 +0300
2023-10-09,AT,6.15,2023-10-20 18:10:08.600 +0300
2023-10-09,CZ,25.9409523,2023-10-20 03:00:59.000 +0300
2023-10-08,FR,51.10,2024-01-16 18:10:37.094 +0300
2023-10-08,AT,4.23,2023-10-19 18:10:09.656 +0300
2023-10-08,CZ,29.4771428,2023-10-10 03:00:32.000 +0300
2023-10-07,FR,50.12,2024-01-16 18:10:37.094 +0300
2023-10-07,CZ,29.2647619,2023-10-20 03:00:59.000 +0300
2023-10-07,AT,7.30,2023-10-18 18:10:07.313 +0300
2023-10-06,FR,64.56,2024-01-15 18:10:30.780 +0300
2023-10-06,AT,8.05,2023-10-17 18:10:08.453 +0300
2023-10-06,CZ,30.1942857,2023-10-08 03:00:54.000 +0300
2023-10-05,FR,70.71,2024-01-14 18:10:17.887 +0300
2023-10-05,CZ,27.1642857,2023-10-20 03:00:59.000 +0300
