"date_actual","region_name","date_forecast","day_avg_temp","is_fact","doc_date"
2023-12-22,Германия,2023-12-21,4.00,false,2023-12-21
2023-12-22,Франция,2023-12-21,10.00,false,2023-12-21
2023-12-22,Австрия,2023-12-20,4.00,false,2023-12-20
2023-12-22,Германия,2023-12-20,5.00,false,2023-12-20
2023-12-22,Франция,2023-12-20,10.00,false,2023-12-20
2023-12-22,Австрия,2023-12-19,4.00,false,2023-12-19
2023-12-22,Германия,2023-12-19,5.00,false,2023-12-19
2023-12-22,Франция,2023-12-19,10.00,false,2023-12-19
2023-12-22,Австрия,2023-12-18,5.00,false,2023-12-18
2023-12-22,Германия,2023-12-18,6.00,false,2023-12-18
2023-12-22,Франция,2023-12-18,9.00,false,2023-12-18
2023-12-22,Австрия,2023-12-17,6.00,false,2023-12-17
2023-12-22,Германия,2023-12-17,7.00,false,2023-12-17
2023-12-22,Франция,2023-12-17,10.00,false,2023-12-17
2023-12-22,Австрия,2023-12-16,5.00,false,2023-12-16
2023-12-22,Германия,2023-12-16,8.00,false,2023-12-16
2023-12-22,Франция,2023-12-16,9.00,false,2023-12-16
2023-12-21,Австрия,,3.00,true,2023-12-22
2023-12-21,Германия,,6.00,true,2023-12-22
2023-12-21,Франция,,9.00,true,2023-12-22
2023-12-21,Австрия,2023-12-21,2.00,false,2023-12-21
2023-12-21,Германия,2023-12-21,6.00,false,2023-12-21
2023-12-21,Франция,2023-12-21,8.00,false,2023-12-21
2023-12-21,Австрия,2023-12-20,3.00,false,2023-12-20
2023-12-21,Германия,2023-12-20,6.00,false,2023-12-20
2023-12-21,Франция,2023-12-20,9.00,false,2023-12-20
2023-12-21,Австрия,2023-12-19,3.00,false,2023-12-19
2023-12-21,Германия,2023-12-19,6.00,false,2023-12-19
2023-12-21,Франция,2023-12-19,8.00,false,2023-12-19
2023-12-21,Австрия,2023-12-18,3.00,false,2023-12-18
2023-12-21,Германия,2023-12-18,6.00,false,2023-12-18
2023-12-21,Франция,2023-12-18,8.00,false,2023-12-18
2023-12-21,Австрия,2023-12-17,3.00,false,2023-12-17
2023-12-21,Германия,2023-12-17,6.00,false,2023-12-17
2023-12-21,Франция,2023-12-17,8.00,false,2023-12-17
2023-12-21,Австрия,2023-12-16,3.00,false,2023-12-16
2023-12-21,Германия,2023-12-16,5.00,false,2023-12-16
2023-12-21,Франция,2023-12-16,7.00,false,2023-12-16
2023-12-21,Австрия,2023-12-15,4.00,false,2023-12-15
2023-12-21,Германия,2023-12-15,5.00,false,2023-12-15
2023-12-21,Франция,2023-12-15,7.00,false,2023-12-15
2023-12-20,Австрия,,0.00,true,2023-12-21
2023-12-20,Германия,,5.00,true,2023-12-21
2023-12-20,Франция,,6.00,true,2023-12-21
2023-12-20,Австрия,2023-12-20,1.00,false,2023-12-20
2023-12-20,Германия,2023-12-20,4.00,false,2023-12-20
2023-12-20,Франция,2023-12-20,6.00,false,2023-12-20
2023-12-20,Австрия,2023-12-19,2.00,false,2023-12-19
2023-12-20,Германия,2023-12-19,4.00,false,2023-12-19
2023-12-20,Франция,2023-12-19,6.00,false,2023-12-19
2023-12-20,Австрия,2023-12-18,2.00,false,2023-12-18
2023-12-20,Германия,2023-12-18,5.00,false,2023-12-18
2023-12-20,Франция,2023-12-18,6.00,false,2023-12-18
2023-12-20,Австрия,2023-12-17,2.00,false,2023-12-17
2023-12-20,Германия,2023-12-17,5.00,false,2023-12-17
2023-12-20,Франция,2023-12-17,6.00,false,2023-12-17
2023-12-20,Австрия,2023-12-16,2.00,false,2023-12-16
2023-12-20,Германия,2023-12-16,4.00,false,2023-12-16
2023-12-20,Франция,2023-12-16,6.00,false,2023-12-16
2023-12-20,Австрия,2023-12-15,4.00,false,2023-12-15
2023-12-20,Германия,2023-12-15,5.00,false,2023-12-15
2023-12-20,Франция,2023-12-15,7.00,false,2023-12-15
2023-12-20,Австрия,2023-12-14,3.00,false,2023-12-14
2023-12-20,Германия,2023-12-14,4.00,false,2023-12-14
